HG00595	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG00595.str_profile.json
HG00596	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG00596.str_profile.json
HG00610	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG00610.str_profile.json
HG00611	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG00611.str_profile.json
HG00613	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG00613.str_profile.json
HG00614	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG00614.str_profile.json
HG00650	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG00650.str_profile.json
HG00651	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG00651.str_profile.json
HG00656	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG00656.str_profile.json
HG00657	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG00657.str_profile.json
HG00662	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG00662.str_profile.json
HG00663	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG00663.str_profile.json
HG00683	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG00683.str_profile.json
HG00684	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG00684.str_profile.json
HG00844	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG00844.str_profile.json
HG00881	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG00881.str_profile.json
HG00982	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG00982.str_profile.json
HG01619	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG01619.str_profile.json
HG01620	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG01620.str_profile.json
HG01623	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG01623.str_profile.json
HG01624	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG01624.str_profile.json
HG01625	control	/scratch/st-wasserww-1/POLARIS_JSONS/EHdn_0.8.6/EHdn_0.8.6_max-irr-mapq40/diversity//HG01625.str_profile.json
